Price,Area,Locality,Year
4860000,1100 sqft,"BasheerBagh,NH",2018-2019
10935000,2300 sqft,MasjidBanda,2018-2019
7290000,1650 sqft,"Rethibowli,Mehdipatnam",2018-2019
8505000,1545 sqft,"VajrasJasmineCounty,FinancialDistrict,NanakramGuda",2018-2019
3159000,1477 sqft,Kondapur,2018-2019
2430000,1477 sqft,Kondapur,2018-2019
4860000,1477 sqft,"HemadurgaTowers,Miyapur,NH",2018-2019
10692000,1477 sqft,RajapushpaAtria,2018-2019
7533000,1477 sqft,AparnaCyberCommune,2018-2019
7290000,1295 sqft,"AparnaSerenePark,MasjidBanda",2018-2019
9963000,1262 sqft,"Ashvita,HitechCity",2018-2019
7533000,1600 sqft,"AparnaCyberZon,Nallagandla,Serilingampally",2018-2019
8748000,2345 sqft,"ACEAtlantis,KhajaGuda,OuterRingRoad",2018-2019
7047000,1100 sqft,JubileeHills,2018-2019
5589000,1550 sqft,Narayanguda,2018-2019
3645000,1477 sqft,Kothaguda,2018-2019
9720000,1477 sqft,AdityaEmpressTowers,2018-2019
6804000,1800 sqft,"AdityaImperialHeights,Hafeezpet,NH",2018-2019
8505000,2500 sqft,HitechCity,2018-2019
10935000,1854 sqft,"LodhaMeridian,Kukatpally,NH",2018-2019
12150000,2350 sqft,"NagarjunaResidency,PJanardhanReddyNagar,Gachibowli,OuterRingRoad",2018-2019
10935000,2400 sqft,"ApurupaAvenue,KavuriHills,Madhapur",2018-2019
5589000,1485 sqft,Kondapur,2018-2019
3888000,900 sqft,"BanjaraHills,NH",2018-2019
9234000,2550 sqft,"Ameerpet,NH",2018-2019
10206000,2160 sqft,"MyHomeVihanga,Gachibowli,OuterRingRoad",2018-2019
6318000,1628 sqft,"PBELCity,Appajunction",2018-2019
2430000,1477 sqft,,2018-2019
12150000,2200 sqft,"AparnaAura,JubileeHills",2018-2019
12150000,2300 sqft,"JainsCarltonCreek,Gachibowli,OuterRingRoad",2018-2019
11664000,2400 sqft,"RamkyTowersElite,Madhapur",2018-2019
6075000,1600 sqft,"ShanthiNagar-Kukatpally,NH",2018-2019
5346000,1800 sqft,"SanjeevaReddyNagar,NH",2018-2019
6075000,1300 sqft,"SuryaNagar,ToliChowki",2018-2019
9720000,1834 sqft,"Gachibowli,OuterRingRoad",2018-2019
4374000,1250 sqft,WestMarredpally,2018-2019
4131000,1200 sqft,"SamataColony,ToliChowki",2018-2019
12150000,2200 sqft,"BanjaraHills,NH",2018-2019
4374000,1504 sqft,"Manikonda,OuterRingRoad",2018-2019
10935000,1900 sqft,Kondapur,2018-2019
10935000,1615 sqft,"AparnaSerenePark,Kondapur",2018-2019
4374000,907 sqft,"SolankiGulmohar,BrahmanWadi,Begumpet",2018-2019
4252500,1233 sqft,Attapur,2018-2019
3402000,2000 sqft,"Saroornagar,NH",2018-2019
3645000,1800 sqft,FortViewColony,2018-2019
8505000,2092 sqft,"MorningRaga,AlkapurTownship,Manikonda,OuterRingRoad",2018-2019
1822500,1477 sqft,"Uppal,NH",2018-2019
3159000,1210 sqft,Nagaram,2018-2019
4131000,6000 sqft,"Chandanagar,NH",2018-2019
6075000,1650 sqft,"SuryaSravanthiApartment,Kothaguda",2018-2019
3645000,1140 sqft,"LotusAvenues,Miyapur,NH",2018-2019
2916000,1650 sqft,"Saroornagar,NH",2018-2019
7290000,1217 sqft,"Kokapet,OuterRingRoad",2018-2019
9477000,1350 sqft,"Kokapet,OuterRingRoad",2018-2019
6318000,1230 sqft,PoliceColony-Kondapur,2018-2019
7290000,1685 sqft,"RajapushpaAtria,Kokapet,OuterRingRoad",2018-2019
4374000,1800 sqft,BandlagudaJagir,2018-2019
4860000,1514 sqft,"Jeedimetla,NH",2018-2019
3645000,1450 sqft,"Bachupally,OuterRingRoad",2018-2019
4860000,1200 sqft,"DurgabaiDeshmukhColony,Amberpet",2018-2019
7290000,1655 sqft,"Nallagandla,Serilingampally",2018-2019
3159000,1413 sqft,"Malakpet,NH",2018-2019
6925500,1010 sqft,"MalaysianTownship,Kukatpally,NH",2018-2019
3523500,1477 sqft,IDPLColony,2018-2019
6804000,1500 sqft,"Hafeezpet,NH",2018-2019
6561000,1685 sqft,"AccurateWindChimes,Narsinghi",2018-2019
2065500,1477 sqft,"Beeramguda,RamachandraPuram,NH",2018-2019
7290000,1024 sqft,"AdityaImperialHeights,Hafeezpet,NH",2018-2019
10935000,1685 sqft,"Gachibowli,OuterRingRoad",2018-2019
7290000,1600 sqft,"Manikonda,OuterRingRoad",2018-2019
8748000,2050 sqft,"AdityaGardenia,BanjaraHills,NH",2018-2019
7290000,1314 sqft,"MyHomeAvatar,Narsingi,OuterRingRoad",2018-2019
1944000,1477 sqft,Charminar,2018-2019
4860000,1410 sqft,"SMRVinayHarmonyCounty,Appajunction",2018-2019
8748000,1850 sqft,"AdityaGardenia,BanjaraHills,NH",2018-2019
7290000,1477 sqft,"AdityaImperialHeights,Hafeezpet,NH",2018-2019
3645000,1477 sqft,Kondapur,2018-2019
3402000,1200 sqft,Musheerabad,2018-2019
6075000,1525 sqft,FriendsColony,2018-2019
4374000,1150 sqft,khairtabad,2018-2019
3645000,1650 sqft,"GoldenHeightsColony,Janachaitanyacolony,HyderabadExpressway",2018-2019
3159000,1200 sqft,Chilakalguda,2018-2019
12150000,1580 sqft,"Habsiguda,NH",2018-2019
2065500,950 sqft,"BNReddyNagar,NagarjunaSagarRoad",2018-2019
3888000,1678 sqft,"Upparpally,HyderabadExpressway",2018-2019
2916000,1175 sqft,"Anandbagh,Secunderabad,MoulaAliRoad",2018-2019
1701000,1477 sqft,Langar,2018-2019
6075000,1632 sqft,"LBNagar,NH",2018-2019
3645000,1000 sqft,"LangarHouseSouth,HyderabadExpressway",2018-2019
5589000,1650 sqft,ToliChowki,2018-2019
8991000,1690 sqft,"MyHomeVihanga,Gachibowli,OuterRingRoad",2018-2019
3645000,1477 sqft,"MythriNagar,Hafeezpet,NH",2018-2019
6318000,1900 sqft,"HillCountyTownship,Bachupally,OuterRingRoad",2018-2019
5832000,1648 sqft,"TNRSulakshna,LBNagar,NH",2018-2019
4131000,1570 sqft,"ManasaVensaAshraya,Saroornagar,NH",2018-2019
7290000,1490 sqft,"AdityaImperialHeights,Hafeezpet,NH",2018-2019
12150000,2675 sqft,"AshokaLiviano,PJanardhanReddyNagar,Gachibowli,OuterRingRoad",2018-2019
6318000,1660 sqft,"EastOakLuxuryApartments,Pocharam,NH",2018-2019
8505000,1490 sqft,"AdityaImperialHeights,Hafeezpet,NH",2018-2019
2065500,650 sqft,"LIGApartments,Kukatpally,NH",2018-2019
9720000,1550 sqft,Narayanguda,2018-2019
3645000,1200 sqft,"DeviBagh,Bahadurpura",2018-2019
5589000,1410 sqft,"Tellapur,OuterRingRoad",2018-2019
5103000,1200 sqft,"Sriramnagar,Kothaguda",2018-2019
6804000,1530 sqft,"VazhraaNirmaanPushpak,Nizampet",2018-2019
6075000,1500 sqft,P&TColony,2018-2019
7290000,1725 sqft,"HonerVivantis,Nalagandala",2018-2019
3645000,1477 sqft,SriMahalakshmiResidency,2018-2019
9720000,1800 sqft,Attapur,2018-2019
6804000,1520 sqft,WestMarredpally,2018-2019
2794500,1600 sqft,Almasguda,2018-2019
3645000,1350 sqft,"SunCity,Bandlaguda,ChevellaRoad",2018-2019
12150000,2200 sqft,"WhistlingWoods,Kokapet,OuterRingRoad",2018-2019
